ligne_achat_id ;achat_id ;produit_id;qte_cartons;qte_par_carton;quantite_achat; pu_achat_carton ; pu_achat_piece ; total_achat ;date_fabrication;date_peremption
63;7;18;1;12;12; 7.200,00 FCFA ; 600,00 FCFA ; 7.200,00 FCFA ;01.05.2026;31.08.2026
64;7;30;15;12;180; 2.400,00 FCFA ; 200,00 FCFA ; 36.000,00 FCFA ;01.05.2026;31.08.2026
65;8;7;3;12;36; 7.385,00 FCFA ; 615,42 FCFA ; 22.155,00 FCFA ;01.05.2026;31.08.2026
66;8;9;3;12;36; 7.200,00 FCFA ; 600,00 FCFA ; 21.600,00 FCFA ;01.05.2026;31.08.2026
67;8;54;2;24;48; 14.300,00 FCFA ; 595,83 FCFA ; 28.600,00 FCFA ;01.05.2026;31.08.2026
68;8;52;1;24;24; 11.200,00 FCFA ; 466,67 FCFA ; 11.200,00 FCFA ;01.05.2026;31.08.2026
69;8;11;2;24;48; 7.200,00 FCFA ; 300,00 FCFA ; 14.400,00 FCFA ;01.05.2026;31.08.2026
70;8;84;1;6;6; 3.500,00 FCFA ; 583,33 FCFA ; 3.500,00 FCFA ;01.05.2026;31.08.2026
71;8;72;1;6;6; 2.500,00 FCFA ; 416,67 FCFA ; 2.500,00 FCFA ;01.05.2026;31.08.2026
72;8;86;1;6;6; 2.500,00 FCFA ; 416,67 FCFA ; 2.500,00 FCFA ;01.05.2026;31.08.2026
73;8;74;1;6;6; 4.200,00 FCFA ; 700,00 FCFA ; 4.200,00 FCFA ;01.05.2026;31.08.2026
74;8;18;2;12;24; 7.200,00 FCFA ; 600,00 FCFA ; 14.400,00 FCFA ;01.05.2026;31.08.2026
75;8;71;1;6;6; 2.500,00 FCFA ; 416,67 FCFA ; 2.500,00 FCFA ;01.05.2026;31.08.2026
76;9;7;2;12;24; 7.200,00 FCFA ; 600,00 FCFA ; 14.400,00 FCFA ;01.05.2026;31.08.2026
77;9;10;2;12;24; 7.150,00 FCFA ; 595,83 FCFA ; 14.300,00 FCFA ;01.05.2026;31.08.2026
78;9;17;3;12;36; 5.400,00 FCFA ; 450,00 FCFA ; 16.200,00 FCFA ;01.05.2026;31.08.2026
79;9;9;1;12;12; 7.200,00 FCFA ; 600,00 FCFA ; 7.200,00 FCFA ;01.05.2026;31.08.2026
80;10;93;3;12;36; 4.960,00 FCFA ; 413,33 FCFA ; 14.880,00 FCFA ;01.05.2026;31.08.2026
81;10;92;2;12;24; 4.960,00 FCFA ; 413,33 FCFA ; 9.920,00 FCFA ;01.05.2026;31.08.2026
82;11;54;3;24;72; 14.300,00 FCFA ; 595,83 FCFA ; 42.900,00 FCFA ;01.05.2026;31.08.2026
83;11;52;5;24;120; 11.300,00 FCFA ; 470,83 FCFA ; 56.500,00 FCFA ;01.05.2026;31.08.2026
84;11;14;4;24;96; 13.300,00 FCFA ; 554,17 FCFA ; 53.200,00 FCFA ;01.05.2026;31.08.2026
85;11;56;2;12;24; 10.400,00 FCFA ; 866,67 FCFA ; 20.800,00 FCFA ;01.05.2026;31.08.2026
86;11;53;7;12;84; 7.200,00 FCFA ; 600,00 FCFA ; 50.400,00 FCFA ;01.05.2026;31.08.2026
87;11;51;1;12;12; 11.900,00 FCFA ; 991,67 FCFA ; 11.900,00 FCFA ;01.05.2026;31.08.2026
88;11;15;3;12;36; 8.300,00 FCFA ; 691,67 FCFA ; 24.900,00 FCFA ;01.05.2026;31.08.2026
89;11;12;3;12;36; 7.200,00 FCFA ; 600,00 FCFA ; 21.600,00 FCFA ;01.05.2026;31.08.2026
90;11;9;2;12;24; 7.200,00 FCFA ; 600,00 FCFA ; 14.400,00 FCFA ;01.05.2026;31.08.2026
91;11;11;2;12;24; 7.200,00 FCFA ; 600,00 FCFA ; 14.400,00 FCFA ;01.05.2026;31.08.2026
92;11;17;1;12;12; 5.400,00 FCFA ; 450,00 FCFA ; 5.400,00 FCFA ;01.05.2026;31.08.2026
93;11;7;3;12;36; 7.200,00 FCFA ; 600,00 FCFA ; 21.600,00 FCFA ;01.05.2026;31.08.2026
94;11;30;7;12;84; 2.400,00 FCFA ; 200,00 FCFA ; 16.800,00 FCFA ;01.05.2026;31.08.2026
95;12;87;1;24;24; 13.759,00 FCFA ; 573,29 FCFA ; 13.759,00 FCFA ;01.05.2026;31.08.2026
96;12;54;1;24;24; 14.300,00 FCFA ; 595,83 FCFA ; 14.300,00 FCFA ;01.05.2026;31.08.2026
97;12;55;1;15;15; 9.732,00 FCFA ; 648,80 FCFA ; 9.732,00 FCFA ;01.05.2026;31.08.2026
98;12;30;1;15;15; 3.000,00 FCFA ; 200,00 FCFA ; 3.000,00 FCFA ;01.05.2026;31.08.2026
99;13;19;1;24;24; 17.500,00 FCFA ; 729,17 FCFA ; 17.500,00 FCFA ;28.03.2026;24.07.2027
100;13;20;1;24;24; 16.000,00 FCFA ; 666,67 FCFA ; 16.000,00 FCFA ;28.03.2026;13.05.2027
101;13;21;1;24;24; 16.000,00 FCFA ; 666,67 FCFA ; 16.000,00 FCFA ;28.03.2026;28.05.2027
102;13;22;1;24;24; 16.000,00 FCFA ; 666,67 FCFA ; 16.000,00 FCFA ;28.03.2026;12.06.2027
103;13;23;1;24;24; 16.000,00 FCFA ; 666,67 FCFA ; 16.000,00 FCFA ;28.03.2026;28.03.2027
104;13;24;1;24;24; 8.000,00 FCFA ; 333,33 FCFA ; 8.000,00 FCFA ;28.03.2026;28.03.2027
105;13;100;1;12;12; 20.000,00 FCFA ; 1.666,67 FCFA ; 20.000,00 FCFA ;28.03.2026;28.03.2027
106;14;6;12;10;120; 3.799,92 FCFA ; 316,66 FCFA ; 37.999,20 FCFA ;13.03.2026;03.12.2026
107;14;71;6;6;36; 2.199,96 FCFA ; 366,66 FCFA ; 13.199,76 FCFA ;13.03.2026;07.09.2026
108;14;72;6;6;36; 2.199,96 FCFA ; 366,66 FCFA ; 13.199,76 FCFA ;13.03.2026;04.12.2026
109;14;73;6;6;36; 2.199,96 FCFA ; 366,66 FCFA ; 13.199,76 FCFA ;13.03.2026;08.12.2026
110;14;5;6;10;60; 1.999,98 FCFA ; 333,33 FCFA ; 19.999,80 FCFA ;13.03.2026;18.11.2026
111;14;74;5;6;30; 3.720,00 FCFA ; 620,00 FCFA ; 18.600,00 FCFA ;13.03.2026;11.12.2026
112;14;75;6;6;36; 3.900,00 FCFA ; 650,00 FCFA ; 23.400,00 FCFA ;13.03.2026;09.12.2026
113;14;31;10;1;10; 900,00 FCFA ; 900,00 FCFA ; 9.000,00 FCFA ;13.03.2026;16.05.2027
114;14;76;5;6;30; 2.349,96 FCFA ; 391,66 FCFA ; 11.749,80 FCFA ;16.05.2026;16.04.2027
115;14;77;6;6;36; 3.300,00 FCFA ; 550,00 FCFA ; 19.800,00 FCFA ;16.05.2026;09.11.2026
116;14;78;1;12;12; 2.899,92 FCFA ; 241,66 FCFA ; 2.899,92 FCFA ;16.05.2026;11.12.2026
117;14;79;6;6;36; 2.349,96 FCFA ; 391,66 FCFA ; 14.099,76 FCFA ;05.02.2026;05.01.2027
118;14;80;1;12;12; 2.352,00 FCFA ; 196,00 FCFA ; 2.352,00 FCFA ;14.03.2026;14.12.2026
119;14;81;1;12;12; 2.899,92 FCFA ; 241,66 FCFA ; 2.899,92 FCFA ;11.05.2026;11.04.2027
120;14;82;6;6;36; 2.349,96 FCFA ; 391,66 FCFA ; 14.099,76 FCFA ;02.03.2026;02.09.2026
121;14;83;6;6;36; 3.249,96 FCFA ; 541,66 FCFA ; 19.499,76 FCFA ;02.03.2026;14.11.2026
122;14;84;6;6;36; 3.249,96 FCFA ; 541,66 FCFA ; 19.499,76 FCFA ;12.06.2026;12.05.2026
123;14;85;5;6;30; 2.349,96 FCFA ; 391,66 FCFA ; 11.749,80 FCFA ;15.06.2026;12.06.2027
124;14;32;2;12;24; 1.899,96 FCFA ; 158,33 FCFA ; 3.799,92 FCFA ;15.06.2026;15.06.2027
125;14;33;5;6;30; 1.350,00 FCFA ; 225,00 FCFA ; 6.750,00 FCFA ;17.04.2026;17.04.2026
126;14;34;1;10;10; 10.000,00 FCFA ; 1.000,00 FCFA ; 10.000,00 FCFA ;18.05.2026;18.06.2027
127;14;35;2;12;24; 1.699,92 FCFA ; 141,66 FCFA ; 3.399,84 FCFA ;02.06.2026;09.06.2027
128;14;36;10;6;60; 1.200,00 FCFA ; 200,00 FCFA ; 12.000,00 FCFA ;14.06.2026;14.06.2027
129;15;94;1;20;20; 6.800,00 FCFA ; 340,00 FCFA ; 6.800,00 FCFA ;24.03.2026;23.03.2028
130;15;95;1;40;40; 6.900,00 FCFA ; 172,50 FCFA ; 6.900,00 FCFA ;25.01.2026;24.01.2028
131;15;57;1;60;60; 17.500,00 FCFA ; 291,67 FCFA ; 17.500,00 FCFA ;25.01.2026;24.01.2028
132;15;58;1;60;60; 20.000,00 FCFA ; 333,33 FCFA ; 20.000,00 FCFA ;25.01.2026;24.01.2028
133;15;59;1;6;6; 5.000,00 FCFA ; 833,33 FCFA ; 5.000,00 FCFA ;25.01.2026;01.03.2028
134;15;60;1;6;6; 1.500,00 FCFA ; 250,00 FCFA ; 1.500,00 FCFA ;03.05.2026;03.05.2028
135;15;61;1;6;6; 3.500,00 FCFA ; 583,33 FCFA ; 3.500,00 FCFA ;25.01.2026;24.01.2028
136;15;40;1;156;156; 5.500,00 FCFA ; 35,26 FCFA ; 5.500,00 FCFA ;01.03.2026;24.01.2028
137;15;41;1;150;150; 5.600,00 FCFA ; 37,33 FCFA ; 5.600,00 FCFA ;25.11.2026;25.11.2030
138;15;62;1;12;12; 2.300,00 FCFA ; 191,67 FCFA ; 2.300,00 FCFA ;25.08.2026;29.08.2035
139;15;97;10;20;200; 380,00 FCFA ; 19,00 FCFA ; 3.800,00 FCFA ;01.01.2026;01.07.2027
140;15;98;10;20;200; 780,00 FCFA ; 39,00 FCFA ; 7.800,00 FCFA ;01.12.2025;01.12.2027
141;15;25;1;50;50; 2.500,00 FCFA ; 50,00 FCFA ; 2.500,00 FCFA ;01.12.2025;01.12.2027
142;15;63;1;12;12; 850,00 FCFA ; 70,83 FCFA ; 850,00 FCFA ;01.12.2025;01.12.2027
143;15;43;1;12;12; 7.500,00 FCFA ; 625,00 FCFA ; 7.500,00 FCFA ;01.12.2025;01.12.2027
144;15;44;1;150;150; 8.500,00 FCFA ; 56,67 FCFA ; 8.500,00 FCFA ;18.12.2025;18.06.2027
145;15;99;10;20;200; 400,00 FCFA ; 20,00 FCFA ; 4.000,00 FCFA ;01.01.2026;01.07.2027
146;15;45;6;50;300; 1.200,00 FCFA ; 24,00 FCFA ; 7.200,00 FCFA ;17.05.2026;17.05.2027
147;15;2;1;240;240; 4.500,00 FCFA ; 18,75 FCFA ; 4.500,00 FCFA ;01.05.2026;30.04.2027
148;15;3;1;120;120; 4.800,00 FCFA ; 40,00 FCFA ; 4.800,00 FCFA ;01.05.2026;30.04.2027
149;15;4;1;120;120; 4.700,00 FCFA ; 39,17 FCFA ; 4.700,00 FCFA ;01.05.2026;01.03.2027
150;15;64;1;48;48; 11.500,00 FCFA ; 239,58 FCFA ; 11.500,00 FCFA ;01.05.2026;01.03.2027
151;15;101;1;12;12; 11.500,00 FCFA ; 958,33 FCFA ; 11.500,00 FCFA ;01.05.2026;01.03.2027
152;15;102;1;12;12; 12.000,00 FCFA ; 1.000,00 FCFA ; 12.000,00 FCFA ;25.04.2026;01.03.2027
153;15;103;1;12;12; 11.500,00 FCFA ; 958,33 FCFA ; 11.500,00 FCFA ;23.01.2026;01.03.2027
154;15;104;1;12;12; 7.500,00 FCFA ; 625,00 FCFA ; 7.500,00 FCFA ;23.01.2026;01.03.2027
155;15;46;1;15;15; 21.000,00 FCFA ; 1.400,00 FCFA ; 21.000,00 FCFA ;20.03.2026;10.06.2028
156;15;26;1;50;50; 4.300,00 FCFA ; 86,00 FCFA ; 4.300,00 FCFA ;16.01.2026;01.05.2028
157;15;27;1;48;48; 1.800,00 FCFA ; 37,50 FCFA ; 1.800,00 FCFA ;01.06.2025;01.05.2027
158;15;66;1;12;12; 6.700,00 FCFA ; 558,33 FCFA ; 6.700,00 FCFA ;10.06.2025;09.06.2028
159;15;67;1;6;6; 2.500,00 FCFA ; 416,67 FCFA ; 2.500,00 FCFA ;21.05.2026;20.05.2029
160;15;68;1;6;6; 2.500,00 FCFA ; 416,67 FCFA ; 2.500,00 FCFA ;12.03.2026;11.03.2029
161;15;1;1;100;100; 850,00 FCFA ; 8,50 FCFA ; 850,00 FCFA ;01.04.2026;24.07.2027
162;15;28;1;98;98; 1.300,00 FCFA ; 13,27 FCFA ; 1.300,00 FCFA ;02.12.2025;01.06.2027
163;15;70;1;24;24; 7.800,00 FCFA ; 325,00 FCFA ; 7.800,00 FCFA ;17.06.2026;17.06.2027
164;15;69;1;60;60; 11.500,00 FCFA ; 191,67 FCFA ; 11.500,00 FCFA ;20.09.2025;19.09.2028
165;16;29;1;50;50; 18.500,00 FCFA ; 370,00 FCFA ; 18.500,00 FCFA ;13.08.2025;13.08.2029
166;17;9;3;12;36; 7.200,00 FCFA ; 595,83 FCFA ; 21.600,00 FCFA ;20.09.2025;20.09.2027
167;17;11;2;12;24; 7.200,00 FCFA ; 600,00 FCFA ; 14.400,00 FCFA ;20.09.2025;20.09.2027
168;17;17;2;12;24; 5.400,00 FCFA ; 450,00 FCFA ; 10.800,00 FCFA ;20.09.2025;20.09.2027
169;18;9;3;12;36; 7.200,00 FCFA ; 595,83 FCFA ; 21.600,00 FCFA ;20.09.2025;20.09.2027
170;18;11;2;12;24; 7.200,00 FCFA ; 991,67 FCFA ; 14.400,00 FCFA ;20.09.2025;20.09.2027
171;18;17;2;12;24; 5.400,00 FCFA ; 600,00 FCFA ; 10.800,00 FCFA ;20.09.2025;20.09.2027
