ligne_vente_id;vente_id;produit_id;qte_vente; pu_vente ; montant_ligne ; cout_unitaire ; cout_total 
41;5;74;3; 800 FCFA ; 2.400 FCFA ; 700 FCFA ; 2.100 FCFA 
42;5;5;3; 500 FCFA ; 1.500 FCFA ; 200 FCFA ; 600 FCFA 
43;5;56;1; 900 FCFA ; 900 FCFA ; 650 FCFA ; 650 FCFA 
44;5;72;7; 500 FCFA ; 3.500 FCFA ; 417 FCFA ; 2.917 FCFA 
45;5;10;11; 750 FCFA ; 8.250 FCFA ; 596 FCFA ; 6.554 FCFA 
46;5;89;1; 750 FCFA ; 750 FCFA ; 517 FCFA ; 517 FCFA 
47;5;52;7; 600 FCFA ; 4.200 FCFA ; 471 FCFA ; 3.296 FCFA 
48;5;53;16; 800 FCFA ; 12.800 FCFA ; 600 FCFA ; 9.600 FCFA 
49;5;36;1; 300 FCFA ; 300 FCFA ; 200 FCFA ; 200 FCFA 
50;6;9;9; 750 FCFA ; 6.750 FCFA ; 650 FCFA ; 5.850 FCFA 
51;6;16;5; 750 FCFA ; 3.750 FCFA ; 650 FCFA ; 3.250 FCFA 
52;6;17;12; 600 FCFA ; 7.200 FCFA ; 450 FCFA ; 5.400 FCFA 
53;6;11;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
54;6;18;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
55;6;14;6; 750 FCFA ; 4.500 FCFA ; 554 FCFA ; 3.325 FCFA 
56;6;54;16; 800 FCFA ; 12.800 FCFA ; 596 FCFA ; 9.533 FCFA 
57;6;56;1; 900 FCFA ; 900 FCFA ; 650 FCFA ; 650 FCFA 
58;6;53;2; 800 FCFA ; 1.600 FCFA ; 600 FCFA ; 1.200 FCFA 
59;6;52;5; 600 FCFA ; 3.000 FCFA ; 471 FCFA ; 2.354 FCFA 
60;6;15;7; 1.000 FCFA ; 7.000 FCFA ; 742 FCFA ; 5.192 FCFA 
61;6;10;16; 750 FCFA ; 12.000 FCFA ; 596 FCFA ; 9.533 FCFA 
62;6;74;9; 800 FCFA ; 7.200 FCFA ; 700 FCFA ; 6.300 FCFA 
63;6;12;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
64;6;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
65;7;72;2; 500 FCFA ; 1.000 FCFA ; 417 FCFA ; 833 FCFA 
66;7;18;19; 750 FCFA ; 14.250 FCFA ; 650 FCFA ; 12.350 FCFA 
67;7;9;13; 750 FCFA ; 9.750 FCFA ; 650 FCFA ; 8.450 FCFA 
68;7;56;15; 900 FCFA ; 13.500 FCFA ; 650 FCFA ; 9.750 FCFA 
69;7;15;4; 1.000 FCFA ; 4.000 FCFA ; 742 FCFA ; 2.967 FCFA 
70;7;16;21; 750 FCFA ; 15.750 FCFA ; 650 FCFA ; 13.650 FCFA 
71;7;14;2; 750 FCFA ; 1.500 FCFA ; 554 FCFA ; 1.108 FCFA 
72;7;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
73;7;51;2; 1.500 FCFA ; 3.000 FCFA ; 992 FCFA ; 1.983 FCFA 
74;7;53;14; 800 FCFA ; 11.200 FCFA ; 600 FCFA ; 8.400 FCFA 
75;7;12;9; 750 FCFA ; 6.750 FCFA ; 650 FCFA ; 5.850 FCFA 
76;7;52;2; 600 FCFA ; 1.200 FCFA ; 471 FCFA ; 942 FCFA 
77;7;74;2; 800 FCFA ; 1.600 FCFA ; 700 FCFA ; 1.400 FCFA 
78;7;92;2; 750 FCFA ; 1.500 FCFA ; 413 FCFA ; 827 FCFA 
79;8;9;5; 750 FCFA ; 3.750 FCFA ; 650 FCFA ; 3.250 FCFA 
80;8;12;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
81;8;33;3; 400 FCFA ; 1.200 FCFA ; 225 FCFA ; 675 FCFA 
82;8;15;1; 1.000 FCFA ; 1.000 FCFA ; 742 FCFA ; 742 FCFA 
83;8;17;2; 600 FCFA ; 1.200 FCFA ; 450 FCFA ; 900 FCFA 
84;8;56;6; 900 FCFA ; 5.400 FCFA ; 650 FCFA ; 3.900 FCFA 
85;8;10;2; 750 FCFA ; 1.500 FCFA ; 596 FCFA ; 1.192 FCFA 
86;8;14;2; 750 FCFA ; 1.500 FCFA ; 554 FCFA ; 1.108 FCFA 
87;8;54;2; 800 FCFA ; 1.600 FCFA ; 596 FCFA ; 1.192 FCFA 
88;8;72;1; 500 FCFA ; 500 FCFA ; 417 FCFA ; 417 FCFA 
89;8;11;12; 750 FCFA ; 9.000 FCFA ; 650 FCFA ; 7.800 FCFA 
90;8;18;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
91;8;16;6; 750 FCFA ; 4.500 FCFA ; 650 FCFA ; 3.900 FCFA 
92;9;53;6; 800 FCFA ; 4.800 FCFA ; 600 FCFA ; 3.600 FCFA 
93;9;12;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
94;9;14;5; 750 FCFA ; 3.750 FCFA ; 554 FCFA ; 2.771 FCFA 
95;9;33;3; 400 FCFA ; 1.200 FCFA ; 225 FCFA ; 675 FCFA 
96;9;16;5; 750 FCFA ; 3.750 FCFA ; 650 FCFA ; 3.250 FCFA 
97;9;7;5; 750 FCFA ; 3.750 FCFA ; 600 FCFA ; 3.000 FCFA 
98;9;52;6; 600 FCFA ; 3.600 FCFA ; 471 FCFA ; 2.825 FCFA 
99;9;56;8; 900 FCFA ; 7.200 FCFA ; 650 FCFA ; 5.200 FCFA 
100;9;51;2; 1.500 FCFA ; 3.000 FCFA ; 992 FCFA ; 1.983 FCFA 
101;9;9;16; 750 FCFA ; 12.000 FCFA ; 650 FCFA ; 10.400 FCFA 
102;9;92;1; 750 FCFA ; 750 FCFA ; 413 FCFA ; 413 FCFA 
103;9;18;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
104;9;54;11; 800 FCFA ; 8.800 FCFA ; 596 FCFA ; 6.554 FCFA 
105;9;88;9; 100 FCFA ; 900 FCFA ; 66 FCFA ; 594 FCFA 
106;9;39;1; 100 FCFA ; 100 FCFA ; 75 FCFA ; 75 FCFA 
107;10;9;4; 750 FCFA ; 3.000 FCFA ; 650 FCFA ; 2.600 FCFA 
108;10;18;3; 750 FCFA ; 2.250 FCFA ; 650 FCFA ; 1.950 FCFA 
109;10;54;1; 800 FCFA ; 800 FCFA ; 596 FCFA ; 596 FCFA 
110;10;7;3; 750 FCFA ; 2.250 FCFA ; 600 FCFA ; 1.800 FCFA 
111;10;56;3; 900 FCFA ; 2.700 FCFA ; 650 FCFA ; 1.950 FCFA 
112;10;52;1; 600 FCFA ; 600 FCFA ; 471 FCFA ; 471 FCFA 
113;10;17;1; 600 FCFA ; 600 FCFA ; 450 FCFA ; 450 FCFA 
114;10;88;1; 100 FCFA ; 100 FCFA ; 66 FCFA ; 66 FCFA 
115;10;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
116;11;18;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
117;11;33;2; 400 FCFA ; 800 FCFA ; 225 FCFA ; 450 FCFA 
118;11;9;30; 750 FCFA ; 22.500 FCFA ; 650 FCFA ; 19.500 FCFA 
119;11;92;2; 750 FCFA ; 1.500 FCFA ; 413 FCFA ; 827 FCFA 
120;11;16;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
121;11;17;16; 600 FCFA ; 9.600 FCFA ; 450 FCFA ; 7.200 FCFA 
122;11;7;1; 750 FCFA ; 750 FCFA ; 600 FCFA ; 600 FCFA 
123;11;15;1; 1.000 FCFA ; 1.000 FCFA ; 742 FCFA ; 742 FCFA 
124;11;52;6; 600 FCFA ; 3.600 FCFA ; 471 FCFA ; 2.825 FCFA 
125;11;12;5; 750 FCFA ; 3.750 FCFA ; 650 FCFA ; 3.250 FCFA 
126;12;88;1; 100 FCFA ; 100 FCFA ; 66 FCFA ; 66 FCFA 
127;12;18;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
128;12;12;6; 750 FCFA ; 4.500 FCFA ; 650 FCFA ; 3.900 FCFA 
129;12;7;10; 750 FCFA ; 7.500 FCFA ; 600 FCFA ; 6.000 FCFA 
130;12;54;4; 800 FCFA ; 3.200 FCFA ; 596 FCFA ; 2.383 FCFA 
131;12;52;1; 600 FCFA ; 600 FCFA ; 471 FCFA ; 471 FCFA 
132;13;17;12; 600 FCFA ; 7.200 FCFA ; 450 FCFA ; 5.400 FCFA 
133;13;9;11; 750 FCFA ; 8.250 FCFA ; 650 FCFA ; 7.150 FCFA 
134;13;52;3; 600 FCFA ; 1.800 FCFA ; 471 FCFA ; 1.413 FCFA 
135;13;74;2; 800 FCFA ; 1.600 FCFA ; 700 FCFA ; 1.400 FCFA 
136;13;7;18; 750 FCFA ; 13.500 FCFA ; 600 FCFA ; 10.800 FCFA 
137;13;84;1; 700 FCFA ; 700 FCFA ; 583 FCFA ; 583 FCFA 
138;13;72;2; 500 FCFA ; 1.000 FCFA ; 417 FCFA ; 833 FCFA 
139;13;56;6; 900 FCFA ; 5.400 FCFA ; 650 FCFA ; 3.900 FCFA 
140;13;16;3; 750 FCFA ; 2.250 FCFA ; 650 FCFA ; 1.950 FCFA 
141;13;15;2; 1.000 FCFA ; 2.000 FCFA ; 742 FCFA ; 1.483 FCFA 
142;13;18;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
143;13;12;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
144;14;17;1; 600 FCFA ; 600 FCFA ; 450 FCFA ; 450 FCFA 
145;14;12;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
146;14;88;1; 100 FCFA ; 100 FCFA ; 66 FCFA ; 66 FCFA 
147;14;9;4; 750 FCFA ; 3.000 FCFA ; 650 FCFA ; 2.600 FCFA 
148;14;11;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
149;14;84;1; 700 FCFA ; 700 FCFA ; 583 FCFA ; 583 FCFA 
150;14;7;6; 750 FCFA ; 4.500 FCFA ; 600 FCFA ; 3.600 FCFA 
151;14;56;5; 900 FCFA ; 4.500 FCFA ; 650 FCFA ; 3.250 FCFA 
152;14;74;1; 800 FCFA ; 800 FCFA ; 700 FCFA ; 700 FCFA 
153;14;52;4; 600 FCFA ; 2.400 FCFA ; 471 FCFA ; 1.883 FCFA 
154;14;54;4; 800 FCFA ; 3.200 FCFA ; 596 FCFA ; 2.383 FCFA 
155;14;13;1; 800 FCFA ; 800 FCFA ; 700 FCFA ; 700 FCFA 
156;15;52;9; 600 FCFA ; 5.400 FCFA ; 471 FCFA ; 4.238 FCFA 
157;15;17;5; 600 FCFA ; 3.000 FCFA ; 450 FCFA ; 2.250 FCFA 
158;15;9;9; 750 FCFA ; 6.750 FCFA ; 650 FCFA ; 5.850 FCFA 
159;15;11;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
160;15;88;2; 100 FCFA ; 200 FCFA ; 66 FCFA ; 132 FCFA 
161;15;7;2; 750 FCFA ; 1.500 FCFA ; 600 FCFA ; 1.200 FCFA 
162;15;54;1; 800 FCFA ; 800 FCFA ; 596 FCFA ; 596 FCFA 
163;15;72;1; 500 FCFA ; 500 FCFA ; 417 FCFA ; 417 FCFA 
164;15;15;6; 1.000 FCFA ; 6.000 FCFA ; 742 FCFA ; 4.450 FCFA 
165;15;51;2; 1.500 FCFA ; 3.000 FCFA ; 992 FCFA ; 1.983 FCFA 
166;15;18;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
167;15;12;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
168;15;16;4; 750 FCFA ; 3.000 FCFA ; 650 FCFA ; 2.600 FCFA 
169;15;56;4; 900 FCFA ; 3.600 FCFA ; 650 FCFA ; 2.600 FCFA 
170;16;17;2; 600 FCFA ; 1.200 FCFA ; 450 FCFA ; 900 FCFA 
171;16;72;2; 500 FCFA ; 1.000 FCFA ; 417 FCFA ; 833 FCFA 
172;16;52;4; 600 FCFA ; 2.400 FCFA ; 471 FCFA ; 1.883 FCFA 
173;16;14;2; 750 FCFA ; 1.500 FCFA ; 554 FCFA ; 1.108 FCFA 
174;16;7;8; 750 FCFA ; 6.000 FCFA ; 600 FCFA ; 4.800 FCFA 
175;16;84;1; 700 FCFA ; 700 FCFA ; 583 FCFA ; 583 FCFA 
176;16;56;3; 900 FCFA ; 2.700 FCFA ; 650 FCFA ; 1.950 FCFA 
177;16;11;9; 750 FCFA ; 6.750 FCFA ; 650 FCFA ; 5.850 FCFA 
178;16;9;15; 750 FCFA ; 11.250 FCFA ; 650 FCFA ; 9.750 FCFA 
179;16;18;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
180;16;16;7; 750 FCFA ; 5.250 FCFA ; 650 FCFA ; 4.550 FCFA 
181;16;53;2; 800 FCFA ; 1.600 FCFA ; 600 FCFA ; 1.200 FCFA 
182;16;54;3; 800 FCFA ; 2.400 FCFA ; 596 FCFA ; 1.788 FCFA 
183;17;54;4; 800 FCFA ; 3.200 FCFA ; 596 FCFA ; 2.383 FCFA 
184;17;51;1; 1.500 FCFA ; 1.500 FCFA ; 992 FCFA ; 992 FCFA 
185;17;16;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
186;17;17;9; 600 FCFA ; 5.400 FCFA ; 450 FCFA ; 4.050 FCFA 
187;17;9;32; 750 FCFA ; 24.000 FCFA ; 650 FCFA ; 20.800 FCFA 
188;17;12;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
189;17;52;2; 600 FCFA ; 1.200 FCFA ; 471 FCFA ; 942 FCFA 
190;17;7;3; 750 FCFA ; 2.250 FCFA ; 600 FCFA ; 1.800 FCFA 
191;17;10;2; 750 FCFA ; 1.500 FCFA ; 596 FCFA ; 1.192 FCFA 
192;17;11;5; 750 FCFA ; 3.750 FCFA ; 650 FCFA ; 3.250 FCFA 
193;17;74;2; 800 FCFA ; 1.600 FCFA ; 700 FCFA ; 1.400 FCFA 
194;17;56;2; 900 FCFA ; 1.800 FCFA ; 650 FCFA ; 1.300 FCFA 
195;17;14;1; 750 FCFA ; 750 FCFA ; 554 FCFA ; 554 FCFA 
196;17;53;3; 800 FCFA ; 2.400 FCFA ; 600 FCFA ; 1.800 FCFA 
197;18;7;3; 750 FCFA ; 2.250 FCFA ; 600 FCFA ; 1.800 FCFA 
198;18;18;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
199;18;9;4; 750 FCFA ; 3.000 FCFA ; 650 FCFA ; 2.600 FCFA 
200;18;86;1; 500 FCFA ; 500 FCFA ; 417 FCFA ; 417 FCFA 
201;18;54;2; 800 FCFA ; 1.600 FCFA ; 596 FCFA ; 1.192 FCFA 
202;18;16;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
203;18;17;2; 600 FCFA ; 1.200 FCFA ; 450 FCFA ; 900 FCFA 
204;18;14;2; 750 FCFA ; 1.500 FCFA ; 554 FCFA ; 1.108 FCFA 
205;18;53;2; 800 FCFA ; 1.600 FCFA ; 600 FCFA ; 1.200 FCFA 
206;18;11;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
207;19;9;15; 750 FCFA ; 11.250 FCFA ; 650 FCFA ; 9.750 FCFA 
208;19;54;14; 800 FCFA ; 11.200 FCFA ; 596 FCFA ; 8.342 FCFA 
209;19;51;1; 1.500 FCFA ; 1.500 FCFA ; 992 FCFA ; 992 FCFA 
210;19;16;8; 750 FCFA ; 6.000 FCFA ; 650 FCFA ; 5.200 FCFA 
211;19;11;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
212;19;53;3; 800 FCFA ; 2.400 FCFA ; 600 FCFA ; 1.800 FCFA 
213;19;14;5; 750 FCFA ; 3.750 FCFA ; 554 FCFA ; 2.771 FCFA 
214;19;7;3; 750 FCFA ; 2.250 FCFA ; 600 FCFA ; 1.800 FCFA 
215;19;72;1; 500 FCFA ; 500 FCFA ; 417 FCFA ; 417 FCFA 
216;19;36;2; 300 FCFA ; 600 FCFA ; 200 FCFA ; 400 FCFA 
217;19;72;1; 500 FCFA ; 500 FCFA ; 417 FCFA ; 417 FCFA 
218;19;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
219;19;52;3; 600 FCFA ; 1.800 FCFA ; 471 FCFA ; 1.413 FCFA 
220;19;6;2; 500 FCFA ; 1.000 FCFA ; 317 FCFA ; 633 FCFA 
221;19;17;6; 600 FCFA ; 3.600 FCFA ; 450 FCFA ; 2.700 FCFA 
222;19;31;2; 1.000 FCFA ; 2.000 FCFA ; 900 FCFA ; 1.800 FCFA 
223;19;74;1; 800 FCFA ; 800 FCFA ; 700 FCFA ; 700 FCFA 
224;19;2;2; 50 FCFA ; 100 FCFA ; 19 FCFA ; 38 FCFA 
225;19;85;1; 500 FCFA ; 500 FCFA ; 392 FCFA ; 392 FCFA 
226;19;40;10; 50 FCFA ; 500 FCFA ; 35 FCFA ; 353 FCFA 
227;19;98;5; 50 FCFA ; 250 FCFA ; 39 FCFA ; 195 FCFA 
228;19;81;1; 250 FCFA ; 250 FCFA ; 242 FCFA ; 242 FCFA 
229;19;23;1; 800 FCFA ; 800 FCFA ; 667 FCFA ; 667 FCFA 
230;19;58;1; 400 FCFA ; 400 FCFA ; 333 FCFA ; 333 FCFA 
231;19;4;4; 25 FCFA ; 100 FCFA ; 39 FCFA ; 157 FCFA 
232;19;84;1; 700 FCFA ; 700 FCFA ; 583 FCFA ; 583 FCFA 
233;19;77;1; 700 FCFA ; 700 FCFA ; 550 FCFA ; 550 FCFA 
234;19;56;5; 900 FCFA ; 4.500 FCFA ; 650 FCFA ; 3.250 FCFA 
235;19;51;2; 1.500 FCFA ; 3.000 FCFA ; 992 FCFA ; 1.983 FCFA 
236;19;15;1; 1.000 FCFA ; 1.000 FCFA ; 742 FCFA ; 742 FCFA 
237;19;12;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
238;20;41;13; 50 FCFA ; 650 FCFA ; 37 FCFA ; 485 FCFA 
239;20;6;3; 500 FCFA ; 1.500 FCFA ; 317 FCFA ; 950 FCFA 
240;20;14;2; 750 FCFA ; 1.500 FCFA ; 554 FCFA ; 1.108 FCFA 
241;20;54;3; 800 FCFA ; 2.400 FCFA ; 596 FCFA ; 1.788 FCFA 
242;20;7;1; 750 FCFA ; 750 FCFA ; 600 FCFA ; 600 FCFA 
243;20;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
244;20;52;1; 600 FCFA ; 600 FCFA ; 471 FCFA ; 471 FCFA 
245;20;43;1; 850 FCFA ; 850 FCFA ; 625 FCFA ; 625 FCFA 
246;20;5;2; 500 FCFA ; 1.000 FCFA ; 200 FCFA ; 400 FCFA 
247;20;73;1; 500 FCFA ; 500 FCFA ; 367 FCFA ; 367 FCFA 
248;20;2;2; 50 FCFA ; 100 FCFA ; 19 FCFA ; 38 FCFA 
249;20;27;2; 50 FCFA ; 100 FCFA ; 38 FCFA ; 75 FCFA 
250;20;81;1; 250 FCFA ; 250 FCFA ; 242 FCFA ; 242 FCFA 
251;20;70;1; 250 FCFA ; 250 FCFA ; 325 FCFA ; 325 FCFA 
252;20;10;1; 750 FCFA ; 750 FCFA ; 596 FCFA ; 596 FCFA 
253;20;9;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
254;20;31;2; 1.000 FCFA ; 2.000 FCFA ; 900 FCFA ; 1.800 FCFA 
255;20;4;1; 25 FCFA ; 25 FCFA ; 39 FCFA ; 39 FCFA 
256;20;71;1; 650 FCFA ; 650 FCFA ; 417 FCFA ; 417 FCFA 
257;20;85;1; 500 FCFA ; 500 FCFA ; 392 FCFA ; 392 FCFA 
258;20;34;1; 1.200 FCFA ; 1.200 FCFA ; 1.000 FCFA ; 1.000 FCFA 
259;21;45;4; 50 FCFA ; 200 FCFA ; 40 FCFA ; 160 FCFA 
260;21;4;5; 50 FCFA ; 250 FCFA ; 39 FCFA ; 196 FCFA 
261;21;31;2; 1.000 FCFA ; 2.000 FCFA ; 900 FCFA ; 1.800 FCFA 
262;21;2;2; 50 FCFA ; 100 FCFA ; 19 FCFA ; 38 FCFA 
263;21;10;2; 750 FCFA ; 1.500 FCFA ; 596 FCFA ; 1.192 FCFA 
264;21;17;8; 600 FCFA ; 4.800 FCFA ; 450 FCFA ; 3.600 FCFA 
265;21;14;5; 750 FCFA ; 3.750 FCFA ; 554 FCFA ; 2.771 FCFA 
266;21;6;2; 500 FCFA ; 1.000 FCFA ; 317 FCFA ; 633 FCFA 
267;21;56;2; 1.200 FCFA ; 2.400 FCFA ; 650 FCFA ; 1.300 FCFA 
268;21;52;2; 600 FCFA ; 1.200 FCFA ; 471 FCFA ; 942 FCFA 
269;21;44;1; 75 FCFA ; 75 FCFA ; 57 FCFA ; 57 FCFA 
270;21;28;4; 25 FCFA ; 100 FCFA ; 13 FCFA ; 53 FCFA 
271;21;77;2; 700 FCFA ; 1.400 FCFA ; 550 FCFA ; 1.100 FCFA 
272;21;84;1; 500 FCFA ; 500 FCFA ; 583 FCFA ; 583 FCFA 
273;21;29;1; 500 FCFA ; 500 FCFA ; 370 FCFA ; 370 FCFA 
274;21;55;2; 900 FCFA ; 1.800 FCFA ; 649 FCFA ; 1.298 FCFA 
275;21;97;5; 25 FCFA ; 125 FCFA ; 19 FCFA ; 95 FCFA 
276;21;58;1; 400 FCFA ; 400 FCFA ; 333 FCFA ; 333 FCFA 
277;21;102;1; 1.200 FCFA ; 1.200 FCFA ; 1.000 FCFA ; 1.000 FCFA 
278;21;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
279;21;11;3; 750 FCFA ; 2.250 FCFA ; 650 FCFA ; 1.950 FCFA 
280;21;18;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
281;21;7;5; 750 FCFA ; 3.750 FCFA ; 600 FCFA ; 3.000 FCFA 
282;21;15;1; 1.000 FCFA ; 1.000 FCFA ; 742 FCFA ; 742 FCFA 
283;21;72;1; 500 FCFA ; 500 FCFA ; 417 FCFA ; 417 FCFA 
284;21;99;2; 25 FCFA ; 50 FCFA ; 20 FCFA ; 40 FCFA 
285;21;25;1; 100 FCFA ; 100 FCFA ; 50 FCFA ; 50 FCFA 
286;21;63;1; 100 FCFA ; 100 FCFA ; 71 FCFA ; 71 FCFA 
287;21;27;2; 50 FCFA ; 100 FCFA ; 38 FCFA ; 75 FCFA 
288;21;9;4; 750 FCFA ; 3.000 FCFA ; 650 FCFA ; 2.600 FCFA 
289;22;11;17; 750 FCFA ; 12.750 FCFA ; 650 FCFA ; 11.050 FCFA 
290;22;16;5; 750 FCFA ; 3.750 FCFA ; 650 FCFA ; 3.250 FCFA 
291;22;9;47; 750 FCFA ; 35.250 FCFA ; 650 FCFA ; 30.550 FCFA 
292;22;55;2; 900 FCFA ; 1.800 FCFA ; 649 FCFA ; 1.298 FCFA 
293;22;54;6; 800 FCFA ; 4.800 FCFA ; 596 FCFA ; 3.575 FCFA 
294;22;52;4; 600 FCFA ; 2.400 FCFA ; 471 FCFA ; 1.883 FCFA 
295;22;17;28; 600 FCFA ; 16.800 FCFA ; 450 FCFA ; 12.600 FCFA 
296;22;83;2; 500 FCFA ; 1.000 FCFA ; 542 FCFA ; 1.083 FCFA 
297;22;18;11; 750 FCFA ; 8.250 FCFA ; 650 FCFA ; 7.150 FCFA 
298;22;12;4; 750 FCFA ; 3.000 FCFA ; 650 FCFA ; 2.600 FCFA 
