produit_id;code_produit;nom_produit;categorie_id;unite;qte_par_carton;stock_min;actif;date_creation
91;MUB003;MUX COCKTAIL MOJITO;24;Bouteille;12;6;TRUE;01.06.2026
92;MUB004;MUX COCKTAIL HERBAL MIX;24;Bouteille;12;6;TRUE;01.06.2026
93;MUB005;MUX COCKTAIL WHISKO MIX;24;Bouteille;12;6;TRUE;01.06.2026
94;PAT001;SPAGHETTI SPAGHETTO 500G ;25;Paquet;20;4;TRUE;01.06.2026
95;PAT002;SPAGHETTI SPAGHETTO 250G ;25;Paquet;40;4;TRUE;01.06.2026
96;POM001;MENTHOLIN;26;Pièce;10;1;TRUE;01.06.2026
97;TAB001;CIGARETTE ASPEN IX50;27;Paquet;20;20;TRUE;01.06.2026
98;TAB002;CIGARETTE BENSON 50X10 ;27;Paquet;20;20;TRUE;01.06.2026
99;TAB003;CIGARETTE TIME GRIS X5O;27;Paquet;20;20;TRUE;01.06.2026
100;VIN001;PERLADO;28;Bouteille;12;6;TRUE;01.06.2026
101;VIN002;VIN ROUGE EL VINO I2XIL ;28;Bouteille;12;6;TRUE;01.06.2026
102;VIN003;VIN BLANC EL VINO 12X1L;28;Bouteille;12;6;TRUE;01.06.2026
103;VIN004;VIN FIESTA ROUOE 12XL;28;Bouteille;12;6;TRUE;01.06.2026
104;VIN005;VIN ROUGE BARON DE RIBERA I2XIL ;28;Bouteille;12;6;TRUE;01.06.2026
105;HYC001;TIGER RAZOR;31;Pièce;10;1;TRUE;01.06.2026
